idcolonia,descripcion,idzona
1,COSTA VERDE,1
2,EDIF. SANTA MARIA,1
3,LOMAS RESIDENCIAL,1
4,EL MORRO,1
5,LOMAS DEL MAR,2
6,LOMAS DEL SOL,2
7,RESIDENCIAL BANUS,2
8,RESIDENCIAL RINCON DEL CONCHAL,2
9,PLAYA DORADA,2
10,PLAYAS DEL CONCHAL,2
11,REAL MANDINGA,2
12,MOCAMBO,1
13,LOMAS DE LA RIOJA,2
14,DOS RIBERAS,2
15,RESIDENCIA LOMAS,1
16,PUNTA TIBURON,1
17,EL SENDERO,2
18,EL DORADO,1
19,EDIF. RAMBLAS,2
20,LA TAMPIQUERA,1
21,BOCA DEL RIO-CENTRO,2
22,LA JOYA,1
23,LA AGUADA,2
24,GRACIANO SNACHEZ,1
25,LAS PALMAS,1
26,RESIDENCIAL MARINO,1
27,PLAYA DE VACA,1
28,NOVILLEROS,1
29,RIVIERA LA CONDESA,1
30,COSTA DE ORO,1
31,CLUB DE GOLF VILLA RICA,1
32,LA RIOJA,1
33,LOMAS DIAMANTE,1
34,FRACC REFORMA,1
35,FRACC VIRGINIA,1
36,FRACC JARDINES DE VIRGINIA,1
37,FRACC FLORESTA,1
38,VISTA BELLA,1
39,PUERTO CONDESA,1
40,COSTA DE ORO,1
41,VILLAS PALMIRA,1
42,GRACIANO SANCHEZ,1
43,LA TAMPIQUERA,1
44,LA GUADA,1
45,LA JOYA,1
46,EL CONCHAL,1
47,PLAYA DE VACA,1
48,EL MORRO,1
49,EL DORADO,1
50,FRACCIONAMIENTO LAS OLAS,1
51,EL ESTERO,1
52,DOS RIBERAS,1
53,PARAISO DEL ESTERO,2
54,ISLA DEL AMOR,2
55,COLONIA  VILLARRICA SUR,1
56,MANDINGA,1
57,COLONIA FLORES MAGON,1
58,COLONIA VILLARICA,1
59,COLONIA OBRERA,1
60,COLONIA ALBERTO TEJEDA,1
61,COLONIA OBRERA,1
62,CARR RIVIERA VERACRUZANA,1
63,LOCAL,1
64,.,4
65,LAS OLAS,1
66,VERASUR,1
67,FRAC TINAJITAS,1
68,VILLAS CORAL,1
69,BOCA DEL RIO /LAS PALMAS,1
70,LOS MANANTIALES,1
71,TOGO,1
72,PLAZA RIVIERA,1
73,RESIDENCIAL CUMBRES,1
74,RESIDENCIAL MALLORCA,1
